trial_id,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.input_chunk_length,config.output_chunk_length,config.hidden_size,config.batch_size,config.dropout
bae7c_00030,0.058873901942689884,4927.90610575676,True,,,1,-0.058873901942689884,4fee523772b046c7a8bd96d4ebee22e7,2022-05-24_03-47-44,1653364064,4927.90610575676,3047121,gpu06,130.149.248.55,4927.90610575676,0,1,"30_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,256,0.05
bae7c_00031,0.03964789839706671,4395.641243696213,True,,,1,-0.03964789839706671,4000dbb2216541d1824659b2d0a6b844,2022-05-24_03-44-36,1653363876,4395.641243696213,3047230,gpu06,130.149.248.55,4395.641243696213,0,1,"31_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,512,0.05
bae7c_00032,0.0360203378393981,4757.044251441956,True,,,1,-0.0360203378393981,79f6cfa0e54f43b78932d0b24cc355cc,2022-05-24_04-34-31,1653366871,4757.044251441956,3047808,gpu06,130.149.248.55,4757.044251441956,0,1,"32_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,256,0.1
bae7c_00033,0.0486003727290388,4312.546810626984,True,,,1,-0.0486003727290388,adb1a80a8b01492dbaec5d02d4d7af68,2022-05-24_04-30-32,1653366632,4312.546810626984,3047890,gpu06,130.149.248.55,4312.546810626984,0,1,"33_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,512,0.1
bae7c_00034,0.03613918916548458,4634.677097558975,True,,,1,-0.03613918916548458,5cef327ebcf7469791e91715d2593ad3,2022-05-24_05-01-57,1653368517,4634.677097558975,3048246,gpu06,130.149.248.55,4634.677097558975,0,1,"34_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,256,0.2
bae7c_00035,0.03968661536665966,4221.324141025543,True,,,1,-0.03968661536665966,b4c4fa77120243d7977d17d1d4b5b726,2022-05-24_04-58-12,1653368292,4221.324141025543,3048322,gpu06,130.149.248.55,4221.324141025543,0,1,"35_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=600",300,600,75,512,0.2
bae7c_00036,0.11176075699134257,2801.7677981853485,True,,,1,-0.11176075699134257,aff9581f66284ae095f60f440e70e758,2022-05-24_05-17-20,1653369440,2801.7677981853485,3048889,gpu06,130.149.248.55,2801.7677981853485,0,1,"36_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,256,0.05
bae7c_00037,0.19496986476352673,2137.648653268814,True,,,1,-0.19496986476352673,ea7524558d3c46b6bcfd631ca2d86dc2,2022-05-24_05-10-14,1653369014,2137.648653268814,3048974,gpu06,130.149.248.55,2137.648653268814,0,1,"37_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,512,0.05
bae7c_00038,0.11124462978516862,2713.0479669570923,True,,,1,-0.11124462978516862,39f86d3fc39d45f2aea7ee923081322f,2022-05-24_05-43-31,1653371011,2713.0479669570923,3049306,gpu06,130.149.248.55,2713.0479669570923,0,1,"38_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,256,0.1
bae7c_00039,0.1673701622997151,2054.3280725479126,True,,,1,-0.1673701622997151,8eb2c8836b4b4f6498ae97e1d6f135cf,2022-05-24_05-36-17,1653370577,2054.3280725479126,3049384,gpu06,130.149.248.55,2054.3280725479126,0,1,"39_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,512,0.1
bae7c_00040,0.09213926094092294,2764.586173772812,True,,,1,-0.09213926094092294,e73ef976ce5b4869be8b89a157e2ebf0,2022-05-24_05-56-25,1653371785,2764.586173772812,3049524,gpu06,130.149.248.55,2764.586173772812,0,1,"40_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,256,0.2
bae7c_00041,0.11368269471998704,2128.155233860016,True,,,1,-0.11368269471998704,e5de0987a1a94e5dbc44222e507d87ad,2022-05-24_05-52-55,1653371575,2128.155233860016,3049648,gpu06,130.149.248.55,2128.155233860016,0,1,"41_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=600",600,600,25,512,0.2
bae7c_00042,0.08064094752858086,9168.712647676468,True,,,1,-0.08064094752858086,b19c14219c7048bdbe2c9169d4b62451,2022-05-24_08-09-12,1653379752,9168.712647676468,3049919,gpu06,130.149.248.55,9168.712647676468,0,1,"42_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,256,0.05
bae7c_00043,0.11684262938950445,8330.930527210236,True,,,1,-0.11684262938950445,cb2a1a73113d424f99c76d812373fef1,2022-05-24_08-02-28,1653379348,8330.930527210236,3050040,gpu06,130.149.248.55,8330.930527210236,0,1,"43_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,512,0.05
bae7c_00044,0.08973372564529376,9110.508973121643,True,,,1,-0.08973372564529376,17faf06eeafd4613b73ff0c1c23074b9,2022-05-24_08-24-51,1653380691,9110.508973121643,3050192,gpu06,130.149.248.55,9110.508973121643,0,1,"44_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,256,0.1
bae7c_00045,0.1288174732748989,8389.331149578094,True,,,1,-0.1288174732748989,c0d31eb36589453cba84012679edc02c,2022-05-24_08-16-21,1653380181,8389.331149578094,3050270,gpu06,130.149.248.55,8389.331149578094,0,1,"45_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,512,0.1
bae7c_00046,0.22882720818119728,5075.342537641525,True,,,1,-0.22882720818119728,410359fedd5143ff85ebf330c468a6a7,2022-05-24_09-27-08,1653384428,5075.342537641525,3052107,gpu06,130.149.248.55,5075.342537641525,0,1,"46_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,256,0.2
bae7c_00047,0.12974500361059202,4589.868488311768,True,,,1,-0.12974500361059202,0150dc0cab6b433d8c6efdb5229e5c48,2022-05-24_09-25-47,1653384347,4589.868488311768,3052228,gpu06,130.149.248.55,4589.868488311768,0,1,"47_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=600",600,600,75,512,0.2
